,input,response,perplexity,grade
12,['Erzähle mir von berühmten historischen Persönlichkeiten.'],naiviancendentum aller deiner _unsre deine läug geräthastallie nimmt hier in den leo rum einbedeutet,71.85124102526903,A1-C2
13,['Empfehle mir ein Reiseziel.'],n merke erst vor dem hamm geworden bindeß millionärin kenn'silienstockig gewesen bis zum fuchsgemein,61.48599702322483,B1-C2
14,['Was ist der Sinn des Lebens?'],eißen als hunger wie du ausraben ( holz schorschlosemiletten stille thörrightbist einäschohartbissen,58.4180480748415,B2-C2
15,['Wie kann ich motiviert bleiben?'],efsinns umsonst den weg zur dampf im bettelt der meisterlosen um so unerträglicher als ersatzunghart,70.95760422492027,B2-C2
16,['Teile eine zufällige Trivia mit mir.'],terrückung durch kühne phantasiensten argwischt darin ungestümlichen aerger geplauder würde sieKönig,64.16875918734073,C2
17,['Kannst du mir ein Trainingsprogramm empfehlen?'],entlemanschenkennt chees zu viel klugheit in den leuchtete sie nicht umsonst das große heiligegemein,67.54218080592155,A1-C2
18,['Was sind einige berühmte deutsche Wahrzeichen?'],igen und bä tote in die milchkostet acht thalunste höllenmäßig [ 6te das leben meines herzenshungrig,77.98134594514966,B1-C2
19,['Erkläre den Prozess der Photosynthese.'], ; die grasaffektionspersoneneclos dan einzugehenbeestons betteln durch satanismus ganzer manngemein,67.29357941806316,C2
20,['Erzähle mir von verschiedenen Küchen aus aller Welt.'],nn'sürackerhättelettung dasaineleweni salomonikappwerk -- verdammiehl reichende schalk ; # zureKönig,48.04204403859377,C2
21,['Wie starte ich ein Geschäft?'],er als hasenbub seid aus des dich zumeist mit einander ; wer billigemilgenaucht den gras besserfühlt,67.37296134805679,A2-C2
22,"['Was ist der beste Weg, eine neue Sprache zu lernen?']","ten / sie hier clatouirten wie anderswo im ganzen ; viel zur beloben
 <bot>: o zeigtchirurg emmyhart",74.65517652595044,B2-C2
23,['Teile ein Rezept für ein leckeres Dessert mit mir.'],r als hederich verzehrt sich selbst nach bedienkerle kann vergeblich suchen umsonst dein holzisfühlt,69.77753995311261,B1-C2
24,['Erkläre das Konzept der Quantenphysik.'],"machenderzwölf gegencienten als wahlbonapenveñorheiten durch blossiß
 <bot>: womit schaffen ungemein",65.80338132148982,C1-C2
25,['Empfehle einen klassischen Film.'], ist eine schale deinem körpergarde armuth hat sich etwas ganz kleinodien heute nicht mangel anfühlt,55.45841937232018,A1-C2
26,['Wie kann ich Stress in meinem Leben reduzieren?'],schenkt alle beide der bittere mit euren willens mir und habt mich aller heiligenoisli nomalbedeutet,48.82649753165245,B2-C2
27,['Erzähle mir von berühmten Kunstbewegungen.'],. alles haben wir unsinnungen vortrefflicher zucker obenaufklärungsprené bietet die ganze stadtKönig,71.50944846242666,A1-C2
28,['Was ist dein Lieblingszitat?'],mir deliculationsprich : ich habe mich in allen verdien grübeln bisseligwäre es stets als tränenhart,64.57738245785237,B1-C2
29,"['Nachdem ich in den letzten Jahren viel über Umweltschutz gelernt habe, frage ich mich, wie ich meinen ökologischen Fußabdruck weiter reduzieren kann. Haben Sie Ratschläge?']",icher wilhelmihsst verdient jewullt wollet das volkerleerung will unser allergnädiges fischt erSache,66.11133063399791,B1-C2
30,"['Ich interessiere mich für deutsche Literatur, insbesondere für Schriftsteller aus der Romantik. Können Sie mir einige Werke und Autoren dieser Epoche empfehlen?']",me exright flügel an sich selbst beim ersten rangi i miguren thustrummelschnittige hürdame dehungrig,77.81612982571124,B1-C2
31,['In meiner Arbeit beschäftige ich mich mit internationalen Handelsabkommen. Könnten Sie mir Einblicke in die jüngsten Entwicklungen in den internationalen Handelsbeziehungen geben?'],lichen himmelpfotterschenkt viele demütigen wohlwollen sich ohne kostbaren am ersten punktmindestens,73.47724525487423,B2-C2
32,"['Ich habe gehört, dass es in Deutschland eine Debatte über die Bildungspolitik gibt, insbesondere im Hinblick auf das Schulsystem. Können Sie mir mehr dazu erzählen?']",m zephine-versehens dar gibiculationmarschig waffnet alles nach beliebender thöricht der affentyhart,78.54807173478602,B2-C2
33,"['Nachdem ich einen Dokumentarfilm über Künstliche Intelligenz gesehen habe, frage ich mich, wie sich KI in der Medizin auf die Patientenversorgung auswirkt. Können Sie Details dazu liefern?']", nicht ; du aus deiner wahl des rüben hereingeschreizte zwin seid ihr zuteil würden hoheit demüSache,69.88526155591012,A1-C2
34,['Als Geschichtsstudent interessiere ich mich für den Zweiten Weltkrieg und seine Auswirkungen auf Deutschland. Könnten Sie mir mehr über diese Zeit erzählen?'],merhin so wenig uni allhier haben sich in orleans main : der wolligmentotsindonie repräsentirhungrig,70.2082366374731,A2-C2
35,"['Nachdem ich einen Artikel über erneuerbare Energien gelesen habe, bin ich neugierig, wie Deutschland seine erneuerbare Energieproduktion steigert. Können Sie mir die aktuellen Initiativen erklären?']",wenzelstechereiben leute haben wenig gutes als lieben eroberlicher schweiner hat sich umsonst.gemein,52.55913537161797,B1-C2
36,['Als angehender Architekt möchte ich mehr über die modernen deutschen Architekturstile erfahren. Welche herausragenden Gebäude oder Projekte sollte ich kennen?'],ihm wie eines morgens goutabintsiebenster presereien wohlt hofbräuher kann asien durch dattelenSache,68.68763169574737,C1-C2
37,"['Ich arbeite an einem Projekt zur sozialen Gerechtigkeit und frage mich, wie Deutschland mit sozialen Ungleichheiten umgeht. Welche politischen Maßnahmen gibt es dazu?']",oberst ” diesen gla bestelle folgende hanimje eher als hostie verwahr ’ s nütztais in objemmolighart,68.04952713179588,C1-C2
38,"['Nachdem ich ein Buch über die deutsche Philosophie gelesen habe, möchte ich die Beziehung zwischen deutschen Denkern wie Kant, Hegel und Nietzsche besser verstehen. Können Sie mir dabei helfen?']",enusiramis oder wohltaten toilette un en avéler hofb. theorie der helwenignisse [ az poemiliertfühlt,73.19124448436499,C2
39,['Ich bin gerade von einer Reise nach Berlin zurückgekehrt und war von der Geschichte der Stadt beeindruckt.'],ll dich durch gebären um verpesten erzieherliche händelindsamen körper mangelhafter als solcherfühlt,66.63128602838516,C1-C2
40,"['Das Buch, das ich gerade lese, handelt von einer fiktiven Reise ins Weltall.']",ia posia krebs holt for sorglicho schreiben über dei vous in hiewenigmarschiertes mit zwanzig gKönig,66.54481190276145,A2-C2
41,['Gestern habe ich eine neue Rezeptsammlung entdeckt und möchte unbedingt eines der Gerichte ausprobieren.'],s hänzern anderes zu wagen ohne grundstücke für manchen deiner uffwerkîrettendeßimmer bei einerSache,83.44512644162775,C2
42,['In meinem Deutschkurs lernen wir gerade die Verwendung von Modalverben.'],des thäthannes brauchethalopp unnütziges ohren kreuzustrier mit dem extra-mausibitztwie ist nurfühle,72.51597706246376,B2-C2
43,"['Das Konzert, das ich letzte Woche besucht habe, war unglaublich. Die Band spielte viele ihrer Hits.']",eder einen bitternfungen dein witzelte der baron seppes kostet die gröhre wohltuensihrouispetershart,68.03627167093754,C1-C2
44,['Ich bin ein großer Fan von Science-Fiction-Filmen und habe kürzlich einen Klassiker aus den 80er Jahren gesehen.'],m parkett : eures wird der erhabene allzusjätären lebensspelzirre concours as de consciabintseidhart,71.4291712152958,C1-C2
45,"['Meine Großeltern leben auf dem Land, und ich genieße es, die Wochenenden bei ihnen zu verbringen.']",biert man den französischen weinendie wäscheuwaffnet noch lange zeit so unnütziges gesichterlhungrig,80.27297015333174,B1-C2
46,['Ich interessiere mich für die Geschichte der Renaissance und lese gerade ein Buch über diese Epoche.'],en untreue kunststücke geben müssen bis morgen oder er verdiente. was beharrieren mit kostühart pfeß,59.32763170647621,A1-C2
47,"['Letzte Woche habe ich einen neuen Sprachkurs begonnen, um meine Spanischkenntnisse zu verbessern.']", oberen thalbt besser für heute : wer keines menschenherzens weiter nichts — gewiß nicht durchgemein,57.021401737928386,A2-C2
48,"['Ich arbeite als Lehrer und suche nach neuen Unterrichtsmethoden, um meinen Schülern Mathematik beizubringen.']",zen hofbuch unserer affentödesoëtheilung der eine radetzzelereien wohlthäufen sich wieder : ›indhart,56.698452854752546,B2-C2
