CEFR,Text
B2,"Die Ausbildung dauerte drei Jahre und war für mich teilweise sehr anstrengend, denn das Ganze lief nach dem so genannten dualen System. Das heißt, dass ich neben der theoretischen Ausbildung in der Berufsschule den praktischen Teil der Ausbildung in einem Seniorenheim machte. 
Für mich war es kein einfacher Weg, aber die ganze Mühe hat sich auf jeden Fall ausgezahlt. Seit vier Jahren arbeite ich Vollzeit in einer stationären Einrichtung und bin mit meiner Arbeit sehr zufrieden. Die meiste Zeit verbringe ich damit, alte Menschen zu pflegen und zu betreuen, indem ich sie zum Beispiel bei der täglichen Körperpflege, beim An- und Ausziehen oder beim Essen und Trinken unterstütze. Auch die Freizeitgestaltung und die medizinische Versorgung gehören zu meinen Aufgaben. Besonders die medizinische Versorgung ist eine sehr verantwortungsvolle Tätigkeit, denn ich muss die Medikamente nach ärztlicher Verordnung zusammenstellen und verabreichen. "
B2,"Ich habe schon als Kind davon geträumt, mein Haus und meine Straße eines Tages aus der Luft sehen zu können. Ganz neidisch war ich immer auf die Vögel, denn sie konnten das, wovon ich nur träumen konnte, schon mit wenigen Wochen. Dass ich meinen Kindheitstraum heute als Beruf leben kann, verdanke ich teilweise einem Zufall. Ich bin gelernte Fotografin von Beruf und arbeite seit mehreren Jahren freiberuflich für verschiedene Zeitungen und Zeitschriften. Als vor ein paar Jahren die ersten Drohnen auf den Markt kamen, wollte ich unbedingt eine ausprobieren und habe mir eine Drohne besorgt. Mittlerweile habe ich eine professionelle Drohne, mit der ich in einer sehr hohen Auflösung fotografieren oder Live-Aufnahmen machen kann. Da die Drohne ohne die Fotoausrüstung schon mehr als 2 Kg wiegt, musste ich einen Drohnenführerschein machen, der ist nämlich seit dem 1. Oktober 2017 Pflicht. "
B2,"Ganz einfach war das nicht. Eine Pilotenlizenz hatte ich nämlich nicht, stattdessen habe ich eine Prüfung beim Luftfahrt-Bundesamt abgelegt und bin nun seit etwa einem Jahr offiziell Drohnenpilotin. Zwar arbeite ich weiterhin auch in meinem ersten Beruf als Fotografin, ich bekomme aber auch schon relativ viele Aufträge als Drohnenpilotin. 
Letzten Sommer habe ich zum Beispiel im Auftrag einer Landesbehörde die Landschaft unserer Region vermessen. Die meisten Aufträge sind eine Art Kombinationen aus meinem alten und meinem neuen Beruf: So dokumentiere ich aus der Luft verschiedene Massenveranstaltungen. Gerade vor zwei Wochen habe ich für das deutsche Fernsehen eine Live-Übertragung von einem Marathonlauf übernommen. Dabei musste ich als Pilotin nicht nur dieses mittlerweile hochkomplexe Fluggerät steuern, sondern auch dafür sorgen, dass das Live-Streaming technisch perfekt abläuft. Wie sich der Markt weiter entwickeln wird, ist im Moment schwer abzusehen. Ich für meinen Teil bin mir sicher, dass mein Beruf Zukunft hat. "
B2,"Guten Tag, Frau Krause. Mein Name ist Patrick Brennan und ich habe drei kurze Fragen zu einer bei Ihnen ausgeschriebenen Stelle im E-Commerce-Bereich. 
Oh, wir haben gerade einige Anzeigen geschaltet. Können Sie mir vielleicht schnell sagen, um welche Stellenausschreibung es sich genau handelt? 
○ Es geht um die Stelle als E-Commerce Executive in München, die gestern auf Ihrer Homepage veröffentlicht wurde. 
Ah ja, da sind Sie bei mir genau richtig. Wie kann ich Ihnen weiterhelfen? 
Nun, als Erstes würde ich gerne wissen, wann die Stelle spätestens angetreten werden sollte. Im Moment bin ich nämlich noch für etwa vier Wochen bei einem Unternehmen in Wien tätig. Daher könnte ich eventuell erst zum Ende des nächsten Monats wechseln. Insofern wollte ich mich nur vergewissern, ob es überhaupt sinnvoll wäre, sich unter den gegebenen Voraussetzungen zu bewerben. Denn in der Ausschreibung steht, dass Sie ab sofort jemanden suchen. 
"
B2,"Tatsächlich ist die Stelle ab sofort frei, aber die Dauer des Bewerbungsverfahrens beträgt im Normalfall einige Wochen. Da ist keine Eile geboten. Uns geht es vor allem darum, den besten oder die beste Kandidatin zu finden, anstatt Hals über Kopf eine Entscheidung zu treffen, nur um die Stelle sofort zu besetzen. 
Darf ich Sie aber nach Ihrem beruflichen Hintergrund fragen? Sie haben doch erwähnt, dass Sie gerade noch in Wien verpflichtet sind. Gehe ich richtig in der Annahme, dass Sie kein Berufsanfänger mehr sind und schon eine gewisse Berufserfahrung mitbringen?
Ja, genau, Berufsanfänger bin ich wirklich nicht mehr. Seit über drei Jahren bin ich bei einem internationalen Handelsunternehmen in der Online-Marketing-Abteilung angestellt. Hier war ich in den letzten Monaten als stellvertretender Teamleiter für Kontakte mit Großkunden in Südeuropa verantwortlich. Marketing war aber auch schon in meinem BWL-Studium an der Universität Dublin mein Schwerpunkt. "
B2,"Während meines Studiums habe ich mehrere Praktika absolviert, die meisten davon im E-Commerce-Bereich. Außerdem steht zu erwarten, dass die Digitalisierung den Weltmarkt immer stärker bestimmen wird, und das ist auch für mich persönlich der Bereich, in dem ich mich gerne einer neuen Herausforderung stellen würde. Und deswegen hat Ihre Stellenanzeige gleich mein Interesse geweckt.
Das ist alles sehr aufschlussreich. Die Stelle scheint für Sie wie geschaffen. Dann darf ich mich wohl auf Ihre Bewerbung freuen. Oder hätten Sie noch weitere Fragen? 
Oh ja, wenn Sie mir noch eine weitere Frage erlauben. 
Ja, selbstverständlich. Ich bin ganz Ohr.  
Ich würde in dem Zusammenhang auch gerne wissen, ob Sie Ihren Mitarbeitern die Möglichkeit bieten, sich auf dem Gebiet E-Commerce weiterzubilden. Oder ob es in Zukunft vielleicht sogar möglich wäre, berufsbegleitend zu studieren.
Das ist eine ausgesprochen gute Frage, Herr Brennan. Sie haben einen entscheidenden Punkt der neuen Entwicklungsstrategie unseres Unternehmens angesprochen. "
A1,"Lieber Johannes, ich freue mich schon sehr auf unser Treffen! Leider habe ich am Montagvormittag noch einen Termin und kann erst mittags losfahren. Kannst Du mich an der Haltestelle Kirchstraße abholen? Und schreib mir doch
bitte noch deine Handynummer. Nur für den Notfall. Und das möchten wir mit unseren Freunden und unseren Familien ganz groß feiern! Danach Kaffeetrinken draußen, abends Fest im Restaurant am Pfingstberg. Übernachten könnt ihr bei Freunden von uns! Wir freuen uns! Endlich habe ich unsere Reise organisiert! Also, wir fahren nach Dresden. Da gibt es im Hotel nur noch Doppelzimmer, aber ich hoffe, das ist für eine Nacht okay? Dort ist es wunderschön! Und am Mittwoch fahren wir dann wieder zurück. Noch Fragen? Du erreichst mich morgen nicht zu Hause am Telefon. Ich bin weg, aber du kannst mir eine E-Mail schicken, dann antworte ich sofort. "
A2,"Am 27. April, dem Girls' und Boys' Day, haben auch dieses Jahr wieder viele Firmen und Universitäten ihre Türen für Schülerinnen und Schüler ab der 5. Klasse geöffnet. An diesem Tag können Mädchen Studiengänge oder Ausbildungsberufe kennenlernen, in denen meist Männer arbeiten, z.B. technische Berufe wie Mechaniker oder Ingenieur. Jungen sammeln erste Erfahrungen in typischen Frauenberufen wie Krankenpfleger oder Kindergärtner. Für diesen Tag melden Schulen ihre Schülerinnen und Schüler an. Welchen wollen, entscheiden die Jugendlichen selbst. Laura hat letztes Jahr beim Girls' Day mitgemacht. Nun macht sie eine Ausbildung bei einer Automobilfirma. Eigentlich wollte ich eine Ausbildung zur Bankkauffrau machen. Aber durch den Girls' Day habe ich gemerkt, dass mir Technik großen Spaß macht. sagt die 16-Jährige. Auch für die teilnehmenden Firmen ist der Tag nützlich, denn bereits wenige Jahre nach dem Start des Projekts haben zehn Prozent der Girls' Day-Teilnehmerinnen einen technischen Beruf gewählt."
B1,"Liebe Kolleginnen und Kollegen, wie ihr alle wisst, wird Herr Altemeyer am Mittwoch 50 und hat uns alle zum Frühstück in die Kantine eingeladen. Weil er unsere Firma so freundlich und professionell leitet und sich immer für uns einsetzt, schlagen wir vor, dass wir Geld sammeln, um ihm eine Überraschung zu kaufen. Wenn jeder von uns 5 Euro gibt, haben wir genug Geld, um etwas Nettes zu besorgen. Bitte meldet euch in unserem Büro, ob ihr einverstanden seid. Wir organisieren das Sammeln und besorgen auch noch eine Karte, auf der ihr alle unterschreiben könnt. Leider kann ich nicht kommen, meine Mutter feiert am gleichen Tag ihren 90. Geburtstag. Ich wäre sehr gern dabei gewesen, aber sie legt natürlich großen Wert darauf, dass meine Frau und ich diesen Tag mit ihr feiern. Ich wünsche Ihnen eine schöne Feier und weiterhin viel Erfolg für Ihre Firma."
B1,"Hier spricht Frau Claussen. Es tut mir leid, aber wir können die Bettwäsche für Ihr Seniorenheim leider heute doch nicht mehr bringen. Unsere große Waschmaschine ist gestern kaputt gegangen, wir konnten nicht mehr alles waschen. Heute Vormittag kommt der Techniker, um die Maschine zu reparieren. Wir bringen die Wäsche dann spätestens übermorgen Nachmittag. Danke! Stadtverwaltung Hamm, leider rufen Sie außerhalb unserer Öffnungszeiten an. Sie können auch unsere Homepage unter www. Stadtverwaltung.de besuchen. Hier finden Sie die Öffnungszeiten und die Telefonnummern Ihrer Ansprechpartner. Ich habe doch nächste Woche Mittwoch die Frühschicht, und Sie haben die Spätschicht. Meine Tochter hat in der Schule eine Theateraufführung, sie spielt die Hauptrolle. Ich wäre sehr gern dabei. Können Sie vielleicht Ihre Schicht mit mir tauschen?"
B1,"Was optisch lecker aussieht, find ich, ist das gesamte Salami- und Schinkensortiment. Das sieht wie so eine ganz rustikale italienische Brotzeit oder so’n Antipasti aus, fehlt nur noch das Glas Rotwein. Sogar die Oliven stehen schon auf dem Tisch. Hier sieht man, woher die Wurst kommt und dass sie frisch aufgeschnitten wird. Komischerweise schaut man hier nicht zuerst auf die Preise, sondern zuerst auf die Bilder. Und wenn man dann auf den Preis guckt, dann ist ja hier noch so ne tolle Beschreibung. Und man merkt auch: das Format, die Bilder, das Papier … das ist alles so auf edel gemacht. Die Prospekte, die so extra billig aussehen, die sind auch extra so aufgemacht, weil sie die Leute ansprechen, die im Prinzip etwas anderes suchen. Und hier bei dem linken Prospekt ist es eher. Ich tu mir was Gutes und gebe mehr Geld aus."
B1,"Was ich kaufen würde, ist das Schäufele. Oder die Schäufele?! Ich glaube, das ist so was Regionales in Deutschland. Das finde ich irgendwie sympathisch. Die Schweinehaxe würd’ ich nicht kaufen. Ich finde, das sieht eklig aus. Ich denk immer, das ist so … das ist so ungesund. Außerdem sieht man hier diesen  rohen Fleischklumpen in der Plastikverpackung und der sieht irgendwie schwabbelig aus. Das ist immer so fettig. So Sachen wie hier den Parmaschinken assoziiere ich hingegen immer mit gesund, denn der sieht ganz mager aus. Außerdem wird der vom Stück abgeschnitten. Sieht man ja sogar hier im Prospekt. Und da denke ich: das kann kein Press- bzw. Formfleisch sein oder mit irgendwas vermischt werden. Und die italienischen Produkte sind von der Qualität her meiner Meinung nach ganz gut. Wenn sie hier noch Panna Cotta oder Grana Padano hätten, würde ich die auch kaufen."
B1,"Minutensteaks finde ich von der Sache her nicht schlecht. Das ist saubillig.  Der Preis springt einen richtig an. Auch farblich. Aber dann kommt wieder das ökologische Gewissen bei mir durch. Also: umso billiger es ist, umso schlechter geht es wahrscheinlich den Rindern, von denen das Fleisch kommt. Bei Hühnchen denk ich auch immer gleich daran, dass die in Massenställen gezüchtet werden. Oder bei Schweinen. Das Schweineschnitzel würd’ ich aber auf gar keinen Fall kaufen, da denk ich gleich an Antibiotika. Aber im Supermarkt ist es ja doch schon sehr anonym und dann vergisst man auch kurz die Bilder aus den Schlachthöfen und Massenställen. Also vielleicht würde ich das Minutensteak am Ende sogar kaufen."
B1,"Minutensteaks finde ich von der Sache her nicht schlecht. Und dann auch noch. Das ist saubillig.  Der Preis springt einen richtig an. Auch farblich. Aber dann kommt wieder das ökologische Gewissen bei mir durch. Also: umso billiger es ist, umso schlechter geht es wahrscheinlich den Rindern, von denen das Fleisch kommt. Bei Hühnchen denk ich auch immer gleich daran, dass die in Massenställen gezüchtet werden. Oder bei Schweinen. Das Schweineschnitzel würd’ ich aber auf gar keinen Fall kaufen, da denk ich gleich an Antibiotika. Aber im Supermarkt ist es ja doch schon sehr anonym und dann vergisst man auch kurz die Bilder aus den Schlachthöfen und Massenställen. Also vielleicht würde ich das Minutensteak am Ende sogar kaufen."
B1,"In dem einen Prospekt kommt fast alles vom Gut Ponholz. Scheint ein ziemlich großer Betrieb zu sein. Massentierhaltung oder so. Aber so richtig weiß man es eben auch nicht. Bei den Salami-und Schinkenspezialitäten weiß man erst recht nicht, wo die Sachen herkommen. Und dann gibt‘s da Rindfleisch aus Texas – weil’s bei uns keine Rinder gibt … Das ist wieder was für deinen CO2-Abdruck. Dann wäre es vielleicht doch besser direkt aufm Bauernhof oder beim Fleischer einzukaufen. Hier kann ich wenigstens entscheiden, ob ich zum einen 100 g oder 150 g kaufe und zum anderen habe ich auch das Gefühl, dass die Ware dort frischer ist. Und auch die Herkunft ist dort vielleicht klarer, zumindest kann ich nachfragen und mich dann erst entscheiden.
"
B1,"Thomas ist Sportlehrer mit Leib und Seele. Es ist sein Traumberuf. Von Sport kann er einfach nicht genug bekommen. Deshalb ist er  auch nach der Schule fast jeden Tag noch auf dem Sportplatz. Manchmal glaube ich, du wohnst da!“, sagt seine Frau oft zum  Spaß. Aber ein bisschen stimmt es. Auch heute freut sich Thomas wie immer auf das Training mit  seinen Jungs. Er steht in der Tür der Umkleidekabine und sieht sie stolz an. ‚Ich bin Trainer der besten Mannschaft der Welt!, findet er. Das sind alles feine Kerle. Nur Jonas fängt zu oft Streit an. Meistens mit Thierry, dem Kapitän  der Mannschaft. Vielleicht, weil Jonas selbst Kapitän werden wollte?"
B1,"
Thomas ist Sportlehrer mit Leib und Seele. Es ist sein Traumberuf. Von Sport kann er einfach nicht genug bekommen. Deshalb ist er  auch nach der Schule fast jeden Tag noch auf dem Sportplatz. Manchmal glaube ich, du wohnst da!“, sagt seine Frau oft zum  Spaß. Aber ein bisschen stimmt es. Auch heute freut sich Thomas wie immer auf das Training mit  seinen Jungs. Er steht in der Tür der Umkleidekabine und sieht sie stolz an. ‚Ich bin Trainer der besten Mannschaft der Welt!, findet er. Das sind alles feine Kerle. Nur Jonas fängt zu oft Streit an. Meistens mit Thierry, dem Kapitän  der Mannschaft. Vielleicht, weil Jonas selbst Kapitän werden wollte?
Thomas hofft, das noch hinzubekommen. Denn beide sind super Fußballer. Und ohne Streitigkeiten könnte sein Team noch viel besser spielen. Dann würden sie Gegner wie den FC Blau-Weiß am Sonntag nur so vom Platz fegen. 
"
B1,"Thomas schaut stolz in die Runde. „Tolle Jungs, wirklich“, murmelt er noch einmal.  Dann steht plötzlich Thierry vor ihm. „Trainer, kommst du mal!“, bittet er. „Ich muss dir jemanden  vorstellen. Ismail heißt er.Thierry führt Thomas in die hinterste Ecke. Dort sitzt ein schmaler Junge auf der Bank. Thomas denkt nach. Hat er den vergessen. Eigentlich soll man sich nämlich telefonisch anmelden, wenn man  zum ersten Mal zum Training kommt. Aber der Junge macht einen  sehr schüchternen Eindruck. Sicher wusste er das gar nicht. Ich bin Thomas, sagt Thomas. Willst du mal zur Probe bei uns mitspielen? Ismail strahlt über das ganze Gesicht. Wenn ich darf, gerne!, sagt er. Wie lange bist du schon in Deutschland?, will Thomas wissen. Ismail wird rot. „Oh, erst seit ein paar Wochen. Darf ich dann nicht Fußball spielen? Thomas winkt ab. Quatsch!, ruft er. Bei uns darf jeder mitmachen!"
B1,"Thomas ist wirklich auf den Neuen gespannt. Gute Spieler kann er immer brauchen. Mit Thierry hat er sehr gute Erfahrungen  gemacht. Der kam vor zwei Jahren auch einfach so vorbei, ohne ein Wort Deutsch zu können. Und nun ist er der Kapitän. Zum Warmmachen jagt Thomas die Jungs dreimal um den Platz.  Dann teilt er die Mannschaften so auf, dass Thierry und Ismail  zusammenspielen. Und jetzt zeig, was du kannst, ruft Thomas Ismail zu. Ismail nickt. Er kann wirklich schon viel verstehen. Aber am Ball kann Ismail noch mehr. Da ist er überhaupt nicht mehr schüchtern. Schon gleich der erste Pass ist ein wahrer Traum! Genau zwischen die Abwehrreihen  und auf den Mitspieler. Thomas hebt den Daumen. Er will noch etwas sagen. Da vibriert sein Handy. Seine Frau Bianka hat ihm eine Nachricht geschickt. Thomas drückt sie weg. Beim Training sind Handys verboten. "
B1,"Mit der Pfeife im Mund geht Thomas am Rand des Fußballplatzes  hin und her. Seinem Blick entgeht nichts. Kein Pass, kein Foul,  keine blöde Aktion. Immer, wenn ihm etwas gefällt, klatscht Thomas oder er hebt den  Daumen. Wenn ihm etwas nicht passt, pfeift er. Danach brüllt er  quer über den Platz, wie die Spieler es besser machen sollen. Was Ismail zeigt, gefällt ihm sehr gut. Auch Thierry wird immer besser. Jonas hingegen spielt in letzter Zeit wie mit angezogener Handbremse. Konkurrenz wird ihm gut tun. Vielleicht fühlt er sich zu sicher? In Gedanken geht Thomas schon die Aufstellung für das Spiel am Sonntag durch. Da geht´s zum FC Blau-Weiß, einem unglaublich  starken Team. Ob ich Ismail da einfach ins kalte Wasser werfe und spielen lasse, grübelt Thomas. Wenn das mit dem Spielerpass schnell geht, könnte er Ismail im  Mittelfeld sehr gut gebrauchen."
B1,"Thierry ist der gleichen Meinung. Thomas geht mit ihm zu Ismail. Da vibriert sein Handy erneut. Verflixt, Bianka!, denkt er. Du weißt doch, wenn ich Training habe, lese ich keine Nachrichten! Verschwitzt kommt Thomas zu Hause an. Kurz vor der Tür fallen ihm die Nachrichten von Bianka wieder ein. Aber jetzt muss er die auch nicht mehr lesen. Er kann ja nun selbst mit ihr sprechen. Da bist du ja endlich“, begrüßt ihn Bianka noch an der Haustür.  „Warum hast du mir nicht geantwortet? Thomas wird ein bisschen sauer. „Beim Training lese ich keine  Nachrichten, das dürfen die Spieler auch nicht. Bianka stützt die Hände in die Hüften. „Aber es ist wichtig. Hast du unser Auto gesehen? Thomas schüttelt den Kopf. Bianka geht mit ihm zum Auto. Es steht vor der Garage. Hinten im Kotflügel ist eine große Beule."
B1,"Wo kommt die denn her? fragt Bianka. Thomas wird nun richtig sauer. Woher soll ich das wissen, schimpft er. Ich habe das Auto die ganze Woche noch nicht gefahren. Wahrscheinlich hast du beim Parken nicht aufgepasst. Thomas dreht sich um und geht joggen. Wenn er hier bleibt, wird der Streit nur noch größer. Dicke Luft. Vor wichtigen Fußballspielen hat Thomas immer besonders viel Hunger. Heute geht es um den Pokal gegen den FC Blau-Weiß. Doch er hat kaum Appetit. Wegen der Beule im Auto herrscht noch immer dicke Luft. Bianka und er haben noch immer Streit. Warum gibst du nicht einfach zu, dass du nicht aufgepasst hast? fragt Thomas noch einmal. Das ist doch nicht schlimm. Seine Frau springt vom Stuhl auf. „Weil ich es nicht war, verstanden?“ Bianka läuft aus der Küche und knallt die Tür zu. Thomas atmet schwer."
